Temperature,Humidity,Rainfall,pH,N,P,K,Budget,Crop
24.5,60.2,100.5,6.5,40,30,20,5000,Wheat
28.2,75.1,150.2,7.0,50,40,30,12000,Rice
22.1,50.5,80.1,6.0,30,20,15,4000,Corn
30.5,80.2,200.5,5.5,60,50,40,15000,Sugarcane
25.0,65.0,120.0,6.8,45,35,25,8000,Soybean
26.5,70.5,130.5,6.2,55,45,35,9000,Cotton
20.5,55.0,90.0,7.2,35,25,20,6000,Barley
27.8,72.3,140.8,6.9,48,38,28,11000,Rice
23.4,58.9,95.4,6.4,38,28,18,4500,Wheat
29.1,78.4,180.2,5.8,58,48,38,14000,Sugarcane
24.8,62.1,110.5,6.7,42,32,22,7000,Soybean
21.9,52.8,85.6,6.1,32,22,17,4200,Corn
26.0,68.2,125.4,6.3,52,42,32,8500,Cotton
20.1,54.2,88.9,7.1,34,24,19,5500,Barley
28.5,76.8,160.1,7.0,50,40,30,12500,Rice
24.0,59.5,98.2,6.5,39,29,19,4800,Wheat
30.0,79.5,190.5,5.6,59,49,39,14500,Sugarcane
25.5,64.5,115.0,6.8,44,34,24,7500,Soybean
22.5,51.5,82.5,6.0,31,21,16,4100,Corn
27.0,71.0,135.0,6.2,54,44,34,9500,Cotton
21.0,56.0,92.0,7.2,36,26,21,6200,Barley
